marker,half,image,question,construct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,EndIntro.keys,EndIntro.rt,EndIntro.started,EndIntro.stopped,StartNachricht1.started,StartNachricht1.stopped,Start.keys,Start.rt,Start.started,Start.stopped,WebsiteImg.started,WebsiteImg.stopped,Frage.started,Frage.stopped,RatingBlau.response,RatingBlau.rt,RatingBlau.started,RatingBlau.stopped,FixationCross.started,FixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,['z'],[1.334791013970971],12.588049598503858,None,,,,,,,,,,,,,,,,,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
,,,,,,,,,,,,,13.95505057205446,None,return,1.850453968392685,13.95505057205446,None,,,,,,,,,,,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
20,VI,Stimuli/VI_soymar.ia.png,The shown influencer is a human.,human,0,0,0,79,,,,,,,,,,,16.221756326500326,18.237999382428825,18.205113778356463,None,3,5.801,2.004334405530244,None,24.05486172111705,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
11,VI,Stimuli/VI_bermudaisbae.png,The shown influencer is a human.,human,0,1,1,70,,,,,,,,,,,28.138150239596143,30.138260449282825,30.12165582482703,None,1,2.402,2.013963855570182,None,32.555075644981116,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
17,VI,Stimuli/VI_noonouri.png,I perceived the influencer as eerie.,uncanny,0,2,2,56,,,,,,,,,,,36.97176882810891,38.971357393078506,38.87173062493093,None,4,4.668,2.002852681092918,None,43.57168068829924,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
19,VI,Stimuli/VI_shudu.gram.png,The shown influencer is a human.,human,0,3,3,78,,,,,,,,,,,47.98847018252127,49.988247947534546,49.888344957260415,None,4,3.369,2.0020533476490527,None,53.288237122120336,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
3,HI,Stimuli/HI_emilycanham.png,I would follow brand recommendations from the shown influencer.,use,0,4,4,22,,,,,,,,,,,56.955352565739304,58.955034997314215,58.85495160683058,None,2,4.918,1.9992708852514625,None,63.80496005760506,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
12,VI,Stimuli/VI_iamxalara.png,I perceived the influencer as eerie.,uncanny,0,5,5,51,,,,,,,,,,,67.47161741228774,69.47150028846227,69.388293833239,None,4,3.268,2.0081541929394007,None,72.68819891894236,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
15,VI,Stimuli/VI_lilmiquela.png,I would follow brand recommendations from the shown influencer.,use,0,6,6,34,,,,,,,,,,,77.1047791687306,79.10483804508112,79.02156510110945,None,1,2.985,2.0093429752159864,None,82.03825779515319,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
6,HI,Stimuli/HI_jihye.png,The shown influencer is a human.,human,0,7,7,65,,,,,,,,,,,85.68856034777127,87.68823544611223,87.6046745465137,None,4,3.868,2.009169615339488,None,91.50474997516721,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
20,VI,Stimuli/VI_soymar.ia.png,The shown influencer is trustworthy.,trust,0,8,8,19,,,,,,,,,,,95.88867830950767,97.88818229688331,97.80461797513999,None,2,3.785,2.0100077665410936,None,101.62137254863046,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
